lat;lng;uf
-24.701792470246218;-48.675008922823466;PR
-24.668673218194435;-48.61661971592713;PR
-24.66910257252563;-48.60116827499586;PR
-24.690638552127403;-48.572202809811785;PR
-24.706237449498623;-48.56472926014724;PR
-24.745975736990594;-48.501896833072365;PR
-24.78104820680928;-48.5183099586376;PR
-24.80620379846647;-48.55575397846333;PR
-24.848766385260433;-48.567748687152196;PR
-24.86749633528764;-48.549730091870146;PR
-24.924731112151072;-48.57158920058107;PR
-24.972266873417446;-48.567370899947036;PR
-24.98591905691891;-48.58659642498496;PR
-25.010505666403347;-48.60083133319944;PR
-25.019705699458456;-48.58886947224826;PR
-25.053127411500803;-48.57963284937646;PR
-25.063972537502494;-48.55793853873254;PR
-25.08655256255063;-48.55600785797621;PR
-25.100819829271657;-48.53022157356678;PR
-25.03698819335036;-48.48088236313049;PR
-25.0125523893812;-48.474049300734585;PR
-24.98039962794043;-48.41186815908823;PR
-24.995906829536494;-48.379949577510956;PR
-25.01996216092492;-48.35474836864225;PR
-25.036489086701906;-48.35122774856171;PR
-25.04412409525076;-48.30724799479909;PR
-25.03919228149853;-48.28462769181451;PR
-24.997534797592763;-48.269585776961975;PR
-24.978711800109508;-48.24932455488427;PR
-25.040804044670878;-48.21525489209953;PR
-25.076671561043668;-48.216054291372444;PR
-25.133835750119758;-48.18164150575089;PR
-25.149906970530232;-48.158502085302885;PR
-25.182058440544573;-48.17839463750249;PR
-25.20499879695692;-48.18252033584483;PR
-25.210933415044984;-48.16146303479115;PR
-25.22812743903002;-48.1512382215666;PR
-25.25087052735286;-48.112999599451925;PR
-25.24125341930987;-48.098582102781805;PR
-25.240085182884847;-48.06210608622686;PR
-25.21846778855754;-48.0322503209955;PR
-25.230931713128022;-48.0235374345049;PR
-25.297154687738605;-48.096750540804784;PR
-25.316358181185045;-48.0998240161654;PR
-25.34839051351132;-48.1385581575329;PR
-25.38071344287105;-48.16708085679607;PR
-25.421225947719293;-48.194774580782195;PR
-25.456959019942758;-48.206776094641;PR
-25.476623317911738;-48.2279138850178;PR
-25.475736843580464;-48.2640946946144;PR
-25.489209819177766;-48.28704416655499;PR
-25.51404967954904;-48.27691292239343;PR
-25.546373297789458;-48.28989995292042;PR
-25.58656607746248;-48.31993235939083;PR
-25.585945070408606;-48.35852731358464;PR
-25.59809519543692;-48.38509490470602;PR
-25.619505114369495;-48.41058669172241;PR
-25.654802787018966;-48.43936252316186;PR
-25.752070709395667;-48.50047770018569;PR
-25.80170814851219;-48.526256258519524;PR
-25.844224890566146;-48.53761440907765;PR
-25.86010474513789;-48.56531899147821;PR
-25.892725261961267;-48.56156834370407;PR
-25.98080596842069;-48.60138344229202;PR
-25.977747482060607;-48.63406207240664;PR
-25.95584182174266;-48.644369622360124;PR
-25.983671319076016;-48.68203231593864;PR
-25.980799832346378;-48.96047839516176;PR
-26.009305450785853;-48.99425182036519;PR
-26.015747381836135;-49.020160939575625;PR
-26.004533333246677;-49.043010968980944;PR
-26.020952678523244;-49.05463912569508;PR
-26.001104032125298;-49.073762009309206;PR
-26.010128629032934;-49.09150352976408;PR
-25.996105056103453;-49.12558088355088;PR
-26.013489807408646;-49.13857909804692;PR
-26.000701210492444;-49.16750213861277;PR
-26.02994337908364;-49.22639720696547;PR
-26.03036946168129;-49.23708218799255;PR
-26.076883219884593;-49.267572722603006;PR
-26.07842662468891;-49.28657660792405;PR
-26.111285844965735;-49.30024725810445;PR
-26.10997994301995;-49.32170419988887;PR
-26.1566612152428;-49.38071067895467;PR
-26.155705738628882;-49.41769171969706;PR
-26.170533831571014;-49.43679098711427;PR
-26.161957875855222;-49.45236293090452;PR
-26.183604209466658;-49.48479718284367;PR
-26.214445882571397;-49.491212133333235;PR
-26.22128544616635;-49.522463655373386;PR
-26.21434701830023;-49.54191159264581;PR
-26.233373239183642;-49.549846064644086;PR
-26.22990234351827;-49.58300856149587;PR
-26.214677710707733;-49.60328540479753;PR
-26.21585203734162;-49.62211200856228;PR
-26.186854172282146;-49.65398571666742;PR
-26.189785945065267;-49.67283968950008;PR
-26.15468056725434;-49.71276534264642;PR
-26.17143603414562;-49.727533038019295;PR
-26.140361370980386;-49.74807828668351;PR
-26.124612222975635;-49.74856815729461;PR
-26.11853885028767;-49.77999009546646;PR
-26.09392709755744;-49.824179894886214;PR
-26.075173541225944;-49.82820927493806;PR
-26.054731908850435;-49.86381128536251;PR
-26.033469717953082;-49.86943942079266;PR
-26.026229867914047;-49.90565018231002;PR
-26.030203930666794;-49.93083903719183;PR
-26.009001820777343;-49.94429822258486;PR
-26.01757537170601;-49.96954597316805;PR
-26.013328245102358;-50.01094001506961;PR
-26.027624063499694;-50.039190246732474;PR
-26.041576876871318;-50.08916962607739;PR
-26.05741039387452;-50.105607779775184;PR
-26.050784856336;-50.124236563266706;PR
-26.026583422886638;-50.14016319067863;PR
-26.077793975011907;-50.18315134745664;PR
-26.064946771076556;-50.19345427039819;PR
-26.038421848289637;-50.25518505044968;PR
-26.054735998967125;-50.29879222048453;PR
-26.085374767931178;-50.33201268403807;PR
-26.133949684130585;-50.32170255213109;PR
-26.1346664734789;-50.333899302510716;PR
-26.11240734632196;-50.3674288648502;PR
-26.07919170313457;-50.37168707379938;PR
-26.058523573803825;-50.40807735168838;PR
-26.062987373168717;-50.42953813627594;PR
-26.02634771507497;-50.460891280807935;PR
-26.026129671746865;-50.51330374447221;PR
-26.038262656596295;-50.550868760884555;PR
-26.001952832057505;-50.57023061055415;PR
-26.02714959557732;-50.59315483492769;PR
-26.04760072749159;-50.586288360019736;PR
-26.041274931292996;-50.565278563854605;PR
-26.059378097021522;-50.553528728867676;PR
-26.07039594681546;-50.59480108440247;PR
-26.06213389496319;-50.62576960778114;PR
-26.100810198232026;-50.6561578669919;PR
-26.132499605572285;-50.650182627426275;PR
-26.148352158525284;-50.67882136081708;PR
-26.188537794883302;-50.703993937070486;PR
-26.20338221951379;-50.72987253419002;PR
-26.244579673213273;-50.715617688005864;PR
-26.246772863376883;-50.74592959027834;PR
-26.222043543174983;-50.76265837428447;PR
-26.231286866895374;-50.79993923011135;PR
-26.266383148963122;-50.84687301937428;PR
-26.245891774185942;-50.87324432356664;PR
-26.279265758308007;-50.88196187843786;PR
-26.283687040424518;-50.90928652335437;PR
-26.249437536612994;-50.90949891174533;PR
-26.23449184472277;-50.93251285878141;PR
-26.24383853741849;-50.94356426048219;PR
-26.27558805454506;-50.93480817685585;PR
-26.261335565483932;-50.97130742739576;PR
-26.246196026525354;-50.97304268906878;PR
-26.23034436030393;-51.00107485312189;PR
-26.2439016824167;-51.056845680283864;PR
-26.23123731514991;-51.077374050472045;PR
-26.272673612597103;-51.10180815022594;PR
-26.27877458368002;-51.1484030002982;PR
-26.30179857254604;-51.19233582293979;PR
-26.29630125160145;-51.20719777985364;PR
-26.32395217775074;-51.227273409740036;PR
-26.329866407308828;-51.24795121397726;PR
-26.364591227103368;-51.26002499735567;PR
-26.376347405908035;-51.25326235367463;PR
-26.404211925539876;-51.29169504948695;PR
-26.434120708503833;-51.29287639892664;PR
-26.462050985664426;-51.25319690731136;PR
-26.49830416730343;-51.27317435191475;PR
-26.5545769627566;-51.22806084083511;PR
-26.595731734631784;-51.227998045673246;PR
-26.624671730116262;-51.23614091936786;PR
-26.62732799559042;-51.25366654767299;PR
-26.655912150924927;-51.294489707134204;PR
-26.648593131767612;-51.34703250864335;PR
-26.663247441516134;-51.39112971656313;PR
-26.700619958943903;-51.4073176312037;PR
-26.688178098340515;-51.43534600551364;PR
-26.640658226296082;-51.45488299185657;PR
-26.587416216285263;-51.49542970781467;PR
-26.581061158845415;-51.51090549609168;PR
-26.59179788056769;-51.53560736358885;PR
-26.58406001835511;-51.596989783151884;PR
-26.587244415197596;-51.63247922003998;PR
-26.565412441730757;-51.65845093925941;PR
-26.58050724571281;-51.6926869370525;PR
-26.57299326073032;-51.7376358335268;PR
-26.58805186070476;-51.78393693174395;PR
-26.578600450950013;-51.82056154687785;PR
-26.594197561368333;-51.846387220693686;PR
-26.59758134690162;-51.877922630824656;PR
-26.579283593063295;-51.90029173247741;PR
-26.58436847952168;-51.92833189959745;PR
-26.56956021842931;-51.948034709234335;PR
-26.566560602589682;-52.00876753769167;PR
-26.539759757007126;-52.034311193107044;PR
-26.525111014061984;-52.08135391185354;PR
-26.474963367964975;-52.11163252661975;PR
-26.47720587694961;-52.1295515013007;PR
-26.46498056679971;-52.16669461606361;PR
-26.445116680490386;-52.18634301042154;PR
-26.467043114248277;-52.2298118053705;PR
-26.454457809979857;-52.26215265372194;PR
-26.461236523646598;-52.27696425669504;PR
-26.440697438935644;-52.3043555638582;PR
-26.43864075057016;-52.3796225202631;PR
-26.428227287459322;-52.40308939196184;PR
-26.440203303739416;-52.43330655875067;PR
-26.439603572846558;-52.463605600717884;PR
-26.39918018991385;-52.524229305438055;PR
-26.411570361982534;-52.55283056138123;PR
-26.416062446824412;-52.59583217561439;PR
-26.395509017926727;-52.62110270692431;PR
-26.373870772817874;-52.65977392542632;PR
-26.352731073180408;-52.68018652139078;PR
-26.357408354511897;-52.71731748001767;PR
-26.342184961866487;-52.73776323668396;PR
-26.34788849735625;-52.775391333343286;PR
-26.34440653553311;-52.846928539520405;PR
-26.35815732340174;-52.86633192887538;PR
-26.362286494925733;-52.9504202938614;PR
-26.34768410573689;-52.9934906873453;PR
-26.3811983040584;-53.046073679556585;PR
-26.39202213321483;-53.09322795740424;PR
-26.37225678652144;-53.12722388477441;PR
-26.345059639390776;-53.1437254136969;PR
-26.344505437575847;-53.18274749460115;PR
-26.289344721281836;-53.264399783223425;PR
-26.262410796720864;-53.26838514865558;PR
-26.245775202263694;-53.28356928409515;PR
-26.258444031067135;-53.30444719827956;PR
-26.24161402117013;-53.37607191388767;PR
-26.253807328045696;-53.399404120203926;PR
-26.27971574038903;-53.424026762824745;PR
-26.28970241853179;-53.4724458085272;PR
-26.302798865974836;-53.49583471170248;PR
-26.287083038751156;-53.557265037251625;PR
-26.272300727596452;-53.58227325250858;PR
-26.259073397319405;-53.58432957125266;PR
-26.257847911851634;-53.62911011194201;PR
-26.235971332910644;-53.65316832475833;PR
-26.215161163756612;-53.641337224333384;PR
-26.164729304913465;-53.67937320670804;PR
-26.152977315150892;-53.70024195230425;PR
-26.132740658054885;-53.71020416708856;PR
-26.117862546619136;-53.73923882880887;PR
-26.083893287745006;-53.739422097152044;PR
-26.063826215807183;-53.72690203779878;PR
-26.04308220977613;-53.734725247472184;PR
-26.030826485453893;-53.77113655870514;PR
-26.007553081309574;-53.78144128208951;PR
-25.989757204031733;-53.8173878497694;PR
-25.971940946317623;-53.83601906053113;PR
-25.932374819642185;-53.841413526013355;PR
-25.92613098405762;-53.81952234118306;PR
-25.878184056349113;-53.83958415928148;PR
-25.85095126638781;-53.83461411804709;PR
-25.8360042740779;-53.84942200771941;PR
-25.801636370022457;-53.82323826163645;PR
-25.77483334448325;-53.836551146218376;PR
-25.742373151599594;-53.86579674662245;PR
-25.706187309396753;-53.85082221797089;PR
-25.65934708020356;-53.86163700894076;PR
-25.62096280029293;-53.93985877336365;PR
-25.64728264437845;-53.95143750423739;PR
-25.600227917884098;-53.97074791268593;PR
-25.569387058665733;-54.00834103381159;PR
-25.56804114768076;-54.02945437881644;PR
-25.585371523277132;-54.04988631200365;PR
-25.562704608430884;-54.083174271475386;PR
-25.607028877180888;-54.08899395530676;PR
-25.616785134626284;-54.10250572046256;PR
-25.580298074396566;-54.12148811288609;PR
-25.55982820061095;-54.12349158656745;PR
-25.509601333234897;-54.09272884516006;PR
-25.498189983281037;-54.11393966498353;PR
-25.54110445410722;-54.1610522088923;PR
-25.535087854720693;-54.187083780691864;PR
-25.552392122998;-54.20852386198656;PR
-25.565834264439722;-54.180363193806286;PR
-25.58205637040509;-54.19971680118938;PR
-25.56293021685598;-54.22947156176313;PR
-25.58465155572471;-54.23383279524725;PR
-25.59725385628044;-54.250131009038796;PR
-25.559371768592193;-54.27749734382731;PR
-25.556151861119453;-54.290109002728244;PR
-25.57460202216552;-54.32994433156567;PR
-25.605380561064045;-54.342750572281005;PR
-25.59431726403045;-54.37061208368068;PR
-25.59877355495552;-54.38602575218668;PR
-25.639577785486395;-54.39797614768101;PR
-25.658621423539827;-54.42538860240201;PR
-25.68469788499938;-54.422970776879815;PR
-25.69130315451686;-54.4383621035282;PR
